Common Name,Name,First record,Last record,
Asian Paradise-flycatcher,Terpsiphone paradisi affinis,1819,1990,
Common Iora,Aegithina tiphia singapurensis ,1819,2014,
Green Iora,Aegithina viridissima viridissima,1819,1949,
Rufous-winged Philentoma,Philentoma pyrhoptera,1819,1949,
Maroon-breasted Philentoma,Philentoma velatum caesia,1819,1879,
Large Woodshrike,Tephrodornis gularis fretensis,1819,1949,
Mangrove Blue Flycatcher,Cyornis rufigastra rufigastra ,1819,2000,
Oriental Magpie Robin,Copsychus saularis musicus,1819,2014,
White-rumped Shama,Copsychus malabaricus mallopercna,1819,2014,
Asian Glossy Starling,Aplonis panayensis strigatus,1819,2014,
Common Myna,Acridotheres tristis tristis,1935,2014,
Hill Myna,Gracula religiosa javana,1819,2014,
Pacific Swallow,Hirundo tahitica abbotti,1819,2014,
Straw-headed Bulbul,Pycnonotus zeylanicus,1819,2014,
Black-headed Bulbul,Pycnonotus atriceps atriceps,1819,2014,
Grey-bellied Bulbul,Pycnonotus cyaniventris cyaniventris,1819,1949,
Yellow-vented Bulbul,Pycnonotus goiavier personatus,1819,2014,
Olive-winged Bulbul,Pycnonotus plumosus plumosus,1819,2014,
Cream-vented Bulbul,Pycnonotus simplex simplex,1819,2014,
Yellow-bellied Bulbul,Alophoxius phaeocephalus phaeocephalus,1819,1924,
Buff-vented Bulbul,Iole olivacea olivacea,1819,1949,
Spectacled Bulbul,Pycnonotus erythropthalmos erythropthalmos,1819,1949,
Red-eyed Bulbul ,Pycnonotus brunneus brunneus,1819,2014,
Zitting Cisticola,Cisticola juncidis malaya,1819,2014,
Yellow-bellied Prinia,Prinia flaviventris rafflesi,1819,2014,
Oriental White-eye,Zosterops palpebrosus,1819,2014,
Common Tailorbird,Orthotomus sutorius maculicollis,1819,2014,
Dark-necked Tailorbird,Orthotomus atrogularis atrogularis,1819,2014,
Rufous-tailed Tailorbird,Orthotomus sericeus hesperius,1819,2014,
Ashy Tailorbird,Orthotomus ruficeps ruficeps,1819,2014,
White-chested Babbler,Trichastoma rostratum rostratum,1819,2014,
Abbott's Babbler,Malacocincla abbotti olivacea,1819,2014,
Short-tailed Babbler,Malacocincla malaccensis malaccensis,1819,2014,
Black-capped Babbler,Pellorneum capistratum nigrocapitatum,1819,1899,
Moustached Babbler,Malacopteron magnirostre magnirostre,1819,1986,
Chestnut-winged Babbler,Stachyris erythroptera erythroptera,1819,2014,
Striped Tit Babbler,Macronous gularis gularis,1819,2014,
Yellow-breasted Flowerpecker,Prionochilus maculatus maculatus,1819,1969,
Yellow-vented Flowerpecker,Dicaeum chrysorrheum chrysorrheum,1819,2014,
Orange-bellied Flowerpecker,Dicaeum trigonostigma trigonsostigmum,1819,2014,
Plain Flowerpecker,Dicaeum concolor borneanum,1819,1931,
Scarlet-backed Flowerpecker,Dicaeum cruentatum ignitum,1819,2014,
Plain Sunbird,Anthreptes simplex simplex,1819,1874,
Brown-throated Sunbird,Anthreptes malacensis malacensis,1819,2014,
Purple-naped Sunbird,Hypogramma hypogrammicum macularia,1819,1969,
Purple-throated Sunbird,Nectarinia sperata brasiliana,1819,2014,
Copper-throated Sunbird,Nectarinia calcostetha calcostetha,1819,2014,
