Name,First Record,Last Record
Deudorix staudingeri,1967,2017
Drina cowani,1956,1976
Drupadia ravindra moorei ,1956,2017
Drupadia rufotaenia rufotaenia ,1936,2017
Drupadia scaeva scaeva,1862,1976
Drupadia theda thesmia ,1862,2017
Eooxylides tharis distanti ,1862,2017
Flos anniella anniella,1862,2017
Flos apidanus saturatus,1882,2017
Flos diardi capeta,1882,2017
Flos fulgida singhapura,1882,2017
Horaga albimacula albistigmata,1937,1976
Horaga chalcedonyx malaya,1936,1973
Horaga onyx sardonyx ,1937,1976
Horaga syrinx maenala ,1900,2017
Hypolycaena erylus teatus ,1882,2017
Hypolycaena thecloides thecloides,1882,2017
Iraota distanti distanti,1994,1999
Iraota rochana boswelliana ,1882,2017
Iraota timoleon wickii,1956,1973
Jacoona anasuja anasuja ,1956,2017
Loxura atymnus fuconius ,1956,2017
Manto hypoleuca terana ,1956,2017
Mantoides gama gama,1956,1973
Neocheritra amrita amrita ,1882,2017
Pratapa deva relata ,1945,2017
Pratapa icetoides calculis,1956,1976
Pseudotajuria donatana donatana ,1956,2017
Purlisa gigantea gigantea,1956,1976
Rachana jalindra burbona ,1956,2017
Rapala abnormis abnormis,1956,1976
Rapala cowani,1938,1976
Rapala dieneces dieneces ,1886,2017
Rapala domitia domitia,1862,2017
Rapala iarbus iarbus ,1882,2017
Rapala manea chozeba ,1994,2017
Rapala pheretima sequeira ,1864,2017
Rapala suffusa barthema ,1882,2017
Rapala varuna orseis,1956,2017
Remelana jangala travana ,1879,2017
Semanga superba deliciosa ,1862,2017
Sinthusa nasaka amba,1995,2017
Surendra florimel ,1855,1967
Surendra vivarna amisena ,1855,2017
Tajuria cippus maxentius ,1916,2017
Tajuria deudorix  ingeni,1955,1976
Tajuria dominus dominus,1956,2017
Tajuria mantra mantra,1916,2017
Virachola kessuma deliochus ,1956,2017
Zeltus amasa maximinianus ,1956,2017
Allotinus davidis,1970,1976
Allotinus horsfleldi permagnus,1956,1976
Allotinus strigatus malayanus,1956,1976
Allotinus substrigosus substrigosus,1956,1976
Allotinus subviolaceus subviolaceus ,1956,1976
Allotinus unicolor unicolor ,1862,2017
Liphyra brassolis abbreviata ,1864,2017
Logania marmorata damis,1895,2017
Miletus biggsii biggsii ,1895,2017
Miletus gaesa gaesa,1862,1973
Miletus gopara gopara,1956,2006
Miletus symethus petronius ,1956,2017
Spalgis epius epius,1956,2017
Amathusia phidippus phidippus ,1905,2017
Discophora sondaica despoliata ,1956,2017
Faunis canens arcesilas ,1882,2017
Ariadne isaeus isaeus,1862,1883
Laringa castelnaui castelnaui,1862,1882
Doleschallia bisaltide ?bisaltide var. ,2000,2017
Doleschallia bisaltide pratipa ,1902,2017
Hypolimnas anomala anomala ,1883,2017
Hypolimnas bolina bolina ,1940,2017
Hypolimnas bolina jacintha ,1907,2017
Hypolimnas misippus misippus ,1994,2017
Junonia almana javana ,1862,2017
Junonia atlites atlites ,1862,2017
Junonia hedonia ida ,1903,2017
Junonia orithya wallacei ,1906,2017
Chilasa clytia clytia ,1950,2017
Chilasa paradoxa aenigma,1882,1970
Graphium agamemnon agamemnon ,1956,2017
Graphium doson evemonides ,2005,2017
Graphium evemon eventus ,1855,2017
Graphium sarpedon luctatius ,1950,2017
Pachliopta aristolochiae asteris ,1956,2017
Papilio demoleus malayanus ,1862,2017
Papilio demolion demolion ,1862,2017
Papilio iswara iswara ,1862,2017
Papilio memnon agenor ,1882,2017
Papilio polytes romulus ,1862,2017
Papilio prexaspes prexaspes ,1994,2017
Pathysa antiphates itamputi ,1956,2017
Troides helena cerberus ,1954,2017
Appias libythea olferna ,1945,2017
Appias nero figulina,1862,1970
Cepora iudith malaya,1862,1970
Delias hyparete metarete ,1862,2017
Delias pasithoe parthenope ,1862,1957
Delias singhapura singhapura  ,1956,1970
Leptosia nina malayana ,1994,2017
Pieris canidia canidia ,1945,2017
Poritia philota philota ,1930,2017
Poritia sumatrae sumatrae ,1862,2017
Capila phanaeus ferrea ,1862,1970
Celaenorrhinus asmara asmara ,1862,2017
Gerosis limax dirae,1956,2001
Gerosis phisara phisara,1970,1995
Gerosis tristis,1973,2004
Mooreana trichoneura trichoneura,2012,2017
Odina hieroglyphica ortina,1956,2017
Odontoptilum angulatum angulatum,1912,2017
Pseudocoladenia dan dhyana ,2002,2017
Tagiades calligana,1956,2017
Tagiades gana gana ,1956,2017
Tagiades japetus atticus ,1956,2017
Tagiades ultra,1900,2017
Tapena thwaitesi bornea ,1994,2017
Zemeros flegyas albipunctatus ,1956,1970
Abisara geza niya,1956,2017
Abisara savitri savitri ,1882,2017
Abisara saturata kausambioides ,1882,2017
Laxita thuisto thuisto,1862,2017
Taxila haquinus haquinus ,1882,2017
Elymnias esaca esaca,1948,1970
Elymnias hypermnestra agina ,1956,2017
Elymnias panthera panthera ,1882,2017
Elymnias penanga penanga ,1862,1990
Lethe europa malaya ,1956,2017
Melanitis leda leda ,1909,2017
Mycalesis fusca fusca ,1862,2017
Mycalesis mineus macromalayana ,1956,2017
Mycalesis orseis nautilus ,1882,2017
Mycalesis perseoides perseoides,1879,2017
Mycalesis perseus cepheus ,1882,2017
Mycalesis visala phamis ,1956,2017
Orsotriaena medus cinerea ,1867,2017
Taenaris horsfieldii birchi ,1883,1967
Thaumantis klugius lucipor ,1956,2017
Thaumantis noureddin noureddin ,1883,2016
Xanthotaenia busiris busiris,1895,1926
Ypthima baldus newboldi ,1956,2017
Ypthima fasciata torone,1956,2012
Ypthima horsfieldii humei ,1994,2017
Ypthima huebneri ,1956,2017
Ypthima pandocus corticaria ,1883,2017
Zeuxidia amethystus amethystus ,1956,2017
